totalnumber,identifier,rssi,snr,biterrors
91,00310_041t,-125,-7,0
92,00310_042t,-127,-9,0
93,00310_043t,-130,-11,0
94,00310_044t,-131,-12,0
95,00310_045t,-127,-8,0
96,00310_046t,-126,-8,0
97,00310_047t,-125,-7,0
98,00310_048t,-126,-7,0
99,00310_049t,-126,-7,0
100,00510_000t,-127,-8,0
101,00510_001t,-127,-8,0
102,00510_002t,-126,-7,0
103,00510_003t,-123,-5,0
104,00510_004t,-123,-5,0
105,00510_005t,-122,-4,0
106,00510_006t,-123,-4,0
107,00510_007t,-123,-5,0
108,00510_008t,-126,-7,0
109,00510_009t,-125,-6,0
110,00510_010t,-124,-6,0
111,00510_011t,-124,-5,0
112,00510_012t,-124,-5,0
113,00510_013t,-121,-3,0
114,00510_014t,-122,-4,0
115,00510_015t,-122,-4,0
116,00510_016t,-123,-5,0
117,00510_017t,-127,-8,0
118,00510_018t,-127,-8,0
119,00510_019t,-123,-5,0
120,00510_020t,-125,-6,0
121,00510_021t,-125,-7,0
122,00510_022t,-127,-8,0
